"gene","nint","nsig","z","npos","nneg","posfrac","enriched","canonical","oncogenes","tsgenes","role","type"
"FOXM1",73,2,-0.552805696011065,0,2,0,0,0,0,0,"unknown","WCT"
"FOXO1",307,10,-0.534644546364057,6,4,0.6,0,1,0,0,"unknown","WCT"
"FOXO3",136,9,0.463578229365785,4,5,0.444444444444444,0,1,0,0,"unknown","WCT"
"FOXO4",58,4,0.683636866778216,3,1,0.75,0,1,0,0,"unknown","WCT"
"FOXP1",89,1,-1.01763346298098,0,1,0,0,1,1,0,"OG","WCT"
"FOXP2",39,1,-0.621762582271959,1,0,1,0,0,0,0,"unknown","WCT"
"FOXQ1",126,7,0.0750940231781795,4,3,0.571428571428571,0,0,0,0,"unknown","WCT"
"FOXR1",53,10,3.36474692795232,2,8,0.2,0,1,1,0,"OG","WCT"
"FOXR2",39,7,3.02884881227561,4,3,0.571428571428571,0,0,0,0,"unknown","WCT"
"FPR1",168,24,2.33004184636592,11,13,0.458333333333333,0,0,0,0,"unknown","WCT"
"FRA10AC1",37,0,-0.97528276442693,0,0,NA,0,0,0,0,"unknown","WCT"
"FREM2",49,3,0.179031858601609,1,2,0.333333333333333,0,0,0,0,"unknown","WCT"
"FRG1",70,2,-0.391369959303077,0,2,0,0,0,0,0,"unknown","WCT"
"FRMD7",3,0,-0.405148216977697,0,0,NA,0,0,0,0,"unknown","WCT"
"FRMD8",14,3,2.82,0,3,0,0,0,0,0,"unknown","WCT"
"FRMPD2",9,0,-0.626783170528009,0,0,NA,0,0,0,0,"unknown","WCT"
"FRMPD4",12,0,-0.644685573644734,0,0,NA,0,0,0,0,"unknown","WCT"
"FSHR",39,1,-0.387814569607874,1,0,1,0,0,0,0,"unknown","WCT"
"FSIP1",7,0,-0.629642485343054,0,0,NA,0,0,0,0,"unknown","WCT"
"FSIP2",9,0,-0.559435199049438,0,0,NA,0,0,0,0,"unknown","WCT"
"FSTL3",12,1,0.575828102463201,1,0,1,0,1,1,0,"OG","WCT"
"FSTL5",11,1,0.49820028575861,0,1,0,0,0,0,0,"unknown","WCT"
"FTCD",7,2,2.28963873145549,0,2,0,0,0,0,0,"unknown","WCT"
"FTH1",167,9,0.482079837177762,4,5,0.444444444444444,0,0,0,0,"unknown","WCT"
"FTO",78,7,0.96869387370105,3,4,0.428571428571429,0,0,0,0,"unknown","WCT"
"FUBP1",161,58,6.39564654840466,17,41,0.293103448275862,1,1,0,1,"TSG","WCT"
"FUBP3",225,6,-0.792541212734281,1,5,0.166666666666667,0,0,0,0,"unknown","WCT"
"FUS",605,32,0.189413139240213,26,6,0.8125,0,1,0,1,"TSG","WCT"
"FXR1",530,48,1.19720491724473,32,16,0.666666666666667,0,0,0,0,"unknown","WCT"
"FXYD3",87,7,0.887464674050907,5,2,0.714285714285714,0,0,0,0,"unknown","WCT"
"FYN",571,51,1.1515895940993,10,41,0.196078431372549,0,0,0,0,"unknown","WCT"
"FZD1",62,4,0.202168529518302,2,2,0.5,0,0,0,0,"unknown","WCT"
